,betweenness
MPguatemala,0.6253725299643664
CICIGgt,0.22257855523161646
Elecciones2019,0.19409013605442177
SupportBitkovs,0.1564625850340136
Ivan_Velasquez_,0.1556122448979592
ManfredoGuate,0.14923469387755103
mmendoza_GT,0.14795918367346939
prensa_libre,0.09886621315192742
GtMlp,0.07993197278911564
EUElecciones2019,0.07352000323939098
EmisorasUnidas,0.06965702947845803
AHORA,0.06346574344023323
jimmymoralesgt,0.060659620991253646
El_andarin,0.0550453514739229
An0nymous_GT,0.04591836734693877
CNNEE,0.04336734693877551
muniguate,0.04081632653061224
patriciasandogt,0.04081632653061224
PublinewsGT,0.04081632653061224
PlazaPublicaGT,0.04081632653061224
ATITLAN4,0.04081632653061224
EnVivo,0.04081632653061224
jimmyporguate,0.020537738905085843
WinaqEsPueblo,0.01998299319727891
ElCambioLoHacemosJuntos,0.01998299319727891
mariottoro,0.006802721088435374
SandraTorresGUA,0.002551020408163265
Galdamez_Kaibil,0.0016095724003887268
GuatemalaGob,0.0005668934240362811
EncuentroGuate,0.0
AztecaNoticiaGT,0.0
AdrianSoto_EU,0.0
DrsergioHernan3,0.0
vpelsalvador,0.0
Guatevision_tv,0.0
MXvsCORRUPCION,0.0
MovimientoWinaq,0.0
sandrajovel6,0.0
Nacional,0.0
PactoDeCorruptos,0.0
Perico8461,0.0
Roboaguilar,0.0
VicGarciaNou,0.0
elsolde_mexico,0.0
fernvampi,0.0
hecch,0.0
lahoragt,0.0
relato_gt,0.0
samuel_pz,0.0
NACIONALES,0.0
