,centrality
Guatemala,0.4388489208633094
lopezobrador_,0.2589928057553957
MPguatemala,0.14388489208633093
Venezuela,0.14388489208633093
Colombia,0.14388489208633093
Mexico,0.1366906474820144
Veracruz,0.1366906474820144
España,0.12949640287769784
México,0.12949640287769784
Argentina,0.12949640287769784
Bolivia,0.1223021582733813
Honduras,0.11510791366906475
Ecuador,0.11510791366906475
nayibbukele,0.10791366906474821
jimmymoralesgt,0.10071942446043167
Panama,0.09352517985611511
CDMX,0.09352517985611511
Cuba,0.08633093525179857
Guadalajara,0.08633093525179857
Puebla,0.08633093525179857
m_ebrard,0.08633093525179857
GobiernoMX,0.07913669064748202
CICIGgt,0.07913669064748202
Claudiashein,0.07913669064748202
Oaxaca,0.07194244604316546
AristeguiOnline,0.05755395683453238
AHORA,0.05755395683453238
argentina,0.05755395683453238
realDonaldTrump,0.05035971223021583
georgesoros,0.05035971223021583
EmisorasUnidas,0.05035971223021583
ConsultaPara,0.05035971223021583
Elecciones2019,0.05035971223021583
jimmyporguate,0.05035971223021583
Ivan_Velasquez_,0.04316546762589928
HijasDeLaMx,0.04316546762589928
ElMundoSV,0.04316546762589928
SCJN,0.03597122302158273
Reforma,0.03597122302158273
LeonKrauze,0.03597122302158273
GuatemalaGob,0.03597122302158273
4T,0.03597122302158273
cdmx,0.03597122302158273
ManfredoGuate,0.03597122302158273
Galdamez_Kaibil,0.03597122302158273
CNNEE,0.03597122302158273
ferbelaunzaran,0.03597122302158273
SantaFe,0.03597122302158273
mike_pence,0.03597122302158273
prensa_libre,0.03597122302158273
EUElecciones2019,0.03597122302158273
SupportBitkovs,0.03597122302158273
sandrajovel6,0.02877697841726619
fulloa51,0.02877697841726619
DHSgov,0.02877697841726619
DeniseMaerker,0.02877697841726619
PublinewsGT,0.02877697841726619
Alvarado,0.02877697841726619
ClaudioXGG,0.02877697841726619
lopezdoriga,0.02877697841726619
An0nymous_GT,0.02877697841726619
El_andarin,0.02877697841726619
mmendoza_GT,0.02877697841726619
Roboaguilar,0.02877697841726619
EnVivo,0.02877697841726619
vampipe,0.02877697841726619
SandraTorresGUA,0.02877697841726619
sanchezcastejon,0.02877697841726619
Jackskinripper,0.02877697841726619
adn40,0.02158273381294964
RepublicaDominicana,0.02158273381294964
SecPompeo,0.02158273381294964
WinaqEsPueblo,0.02158273381294964
econokafka,0.02158273381294964
elsalvadorcom,0.02158273381294964
PRI_Nacional,0.02158273381294964
Criptomonedas,0.02158273381294964
Negocios,0.02158273381294964
Lizgottik,0.02158273381294964
ElCambioLoHacemosJuntos,0.02158273381294964
muniguate,0.02158273381294964
lahoragt,0.02158273381294964
GtMlp,0.02158273381294964
ATITLAN4,0.02158273381294964
Latinoamerica,0.02158273381294964
InformaTVX,0.02158273381294964
AdrianSoto_EU,0.02158273381294964
MovimientoWinaq,0.02158273381294964
12Jun,0.02158273381294964
ilegalidad,0.014388489208633094
https://t.co/nu1jfOuGlL,0.014388489208633094
jorgeramosnews,0.014388489208633094
dw_espanol,0.014388489208633094
samuel_pz,0.014388489208633094
mariottoro,0.014388489208633094
hecch,0.014388489208633094
nytimeses,0.014388489208633094
patriciasandogt,0.014388489208633094
vpelsalvador,0.014388489208633094
Entérate,0.014388489208633094
Forbes_Mexico,0.014388489208633094
El_Universal_Mx,0.014388489208633094
ElFinanciero_Mx,0.014388489208633094
MXvsCORRUPCION,0.014388489208633094
Elecciones,0.014388489208633094
ElijoDignidad,0.014388489208633094
Guatevision_tv,0.014388489208633094
Perico8461,0.014388489208633094
M_OlgaSCordero,0.014388489208633094
PlazaPublicaGT,0.014388489208633094
CarlosLoret,0.014388489208633094
CaraotaDigital,0.014388489208633094
SAT,0.014388489208633094
SenRubioPress,0.014388489208633094
13Jun,0.014388489208633094
EncuentroGuate,0.007194244604316547
VicGarciaNou,0.007194244604316547
DrsergioHernan3,0.007194244604316547
FMLNoficial,0.007194244604316547
DDHH,0.007194244604316547
relato_gt,0.007194244604316547
Carloslopezjone,0.007194244604316547
AztecaNoticiaGT,0.007194244604316547
DanielHabif,0.007194244604316547
HsilvAvalos,0.007194244604316547
FelizJueves,0.007194244604316547
FelizMiércoles,0.007194244604316547
VolcancitoVisto,0.007194244604316547
Internacionales,0.007194244604316547
NACIONALES,0.007194244604316547
Nacional,0.007194244604316547
fernvampi,0.007194244604316547
PNC_SV,0.007194244604316547
fabbiolaCastro,0.007194244604316547
elsolde_mexico,0.007194244604316547
PactoDeCorruptos,0.007194244604316547
cuba,0.007194244604316547
Presidente,0.007194244604316547
TrabajoInfantil,0.007194244604316547
Milenio,0.007194244604316547
